what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1515009852496
os,sysinfo,,,"linux",1515009852500
arch,sysinfo,,,"x86_64",1515009852500
ws,sysinfo,,,"gtk",1515009852500
locale,sysinfo,,,"en_GB",1515009852500
processors,sysinfo,,,"4",1515009852500
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1515009852500
java.runtime.version,sysinfo,,,"1.8.0_151-8u151-b12-0ubuntu0.16.04.2-b12",1515009852500
java.specification.name,sysinfo,,,"Java Platform API Specification",1515009852500
java.specification.vendor,sysinfo,,,"Oracle Corporation",1515009852500
java.specification.version,sysinfo,,,"1.8",1515009852500
java.vendor,sysinfo,,,"Oracle Corporation",1515009852500
java.version,sysinfo,,,"1.8.0_151",1515009852500
java.vm.info,sysinfo,,,"mixed mode",1515009852500
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1515009852500
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1515009852500
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1515009852500
java.vm.specification.version,sysinfo,,,"1.8",1515009852500
java.vm.vendor,sysinfo,,,"Oracle Corporation",1515009852500
java.vm.version,sysinfo,,,"25.151-b12",1515009852500
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1515009953573
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1515009957178
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1515009960506
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1515011023980
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1515011036493
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1515011109160
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1515016688140
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1515016690646
